City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
196,Otuzco,PE,2022-11-30 21:25:58,-7.9,-78.5833,55.26,68,82,8.23,broken clouds
197,Chapleau,CA,2022-11-30 21:25:58,47.8405,-83.4034,24.89,80,75,14.97,broken clouds
198,Qaqortoq,GL,2022-11-30 21:25:59,60.7167,-46.0333,25.79,85,99,1.57,overcast clouds
199,Henties Bay,NA,2022-11-30 21:25:59,-22.116,14.2845,60.87,88,5,6.44,clear sky
200,Port-Gentil,GA,2022-11-30 21:26:00,-0.7193,8.7815,80.56,89,20,5.75,few clouds
201,Shihezi,CN,2022-11-30 21:26:00,44.3,86.0333,3.97,81,86,2.3,overcast clouds
202,Havelock,US,2022-11-30 21:26:00,34.8791,-76.9013,67.98,89,0,5.75,clear sky
203,Hargeysa,SO,2022-11-30 21:26:01,9.56,44.065,60.33,81,2,11.52,clear sky
204,Kapit,MY,2022-11-30 21:26:01,2.0167,112.9333,73.22,99,100,1.16,overcast clouds
205,Yubari,JP,2022-11-30 21:26:02,43.0378,141.9578,19.9,75,88,14.18,overcast clouds
206,Abay,KZ,2022-11-30 21:26:03,49.6311,72.8539,8.98,91,100,10.36,light snow
207,Toma,BF,2022-11-30 21:26:04,12.7667,-2.8833,76.37,15,87,6.87,overcast clouds
208,Dingle,PH,2022-11-30 21:26:05,10.9995,122.6711,75.42,93,98,8.05,moderate rain
209,Severo-Kurilsk,RU,2022-11-30 21:23:59,50.6789,156.125,28.8,86,48,10.4,light snow
210,Pundaguitan,PH,2022-11-30 21:26:06,6.3711,126.1689,79.52,86,100,13.22,overcast clouds
211,Kudligi,IN,2022-11-30 21:26:06,14.9,76.3833,67.32,61,2,5.61,clear sky
212,Egvekinot,RU,2022-11-30 21:26:07,66.3167,-179.1667,9.14,85,43,2.8,scattered clouds
213,Bagua Grande,PE,2022-11-30 21:26:08,-5.7561,-78.4411,99.63,20,84,6.13,broken clouds
214,Iskilip,TR,2022-11-30 21:26:08,40.7353,34.4739,49.78,74,97,2.86,overcast clouds
215,Saint George,US,2022-11-30 21:21:32,37.1041,-113.5841,57.43,24,0,8.05,clear sky
216,Norrtalje,SE,2022-11-30 21:26:09,59.758,18.705,38.01,83,100,2.37,overcast clouds
217,Colesberg,ZA,2022-11-30 21:26:10,-30.72,25.0972,67.87,63,96,7.92,light rain
218,Pitiquito,MX,2022-11-30 21:26:11,30.7,-112.0833,73.63,30,62,7.58,broken clouds
219,Axim,GH,2022-11-30 21:26:12,4.8699,-2.2405,79.05,81,94,5.23,overcast clouds
220,Fairbanks,US,2022-11-30 21:25:18,64.8378,-147.7164,4.23,78,100,0.0,overcast clouds
221,Dudinka,RU,2022-11-30 21:27:13,69.4058,86.1778,0.43,99,99,6.24,overcast clouds
222,Antofagasta,CL,2022-11-30 21:27:14,-23.65,-70.4,67.28,71,2,7.76,clear sky
223,Port Lincoln,AU,2022-11-30 21:27:14,-34.7333,135.8667,59.13,76,12,14.03,few clouds
224,Peterhead,GB,2022-11-30 21:27:15,57.5058,-1.7981,43.2,80,96,21.52,overcast clouds
225,Guilin,CN,2022-11-30 21:27:15,25.2819,110.2864,37.51,89,100,9.95,overcast clouds
226,Taltal,CL,2022-11-30 21:27:16,-25.4,-70.4833,65.71,76,35,7.27,scattered clouds
227,Bengkulu,ID,2022-11-30 21:27:17,-3.8004,102.2655,74.17,88,100,3.83,overcast clouds
228,Bhatkal,IN,2022-11-30 21:27:17,13.9667,74.5667,74.8,54,23,6.8,few clouds
229,Sao Joao Da Barra,BR,2022-11-30 21:27:18,-21.6403,-41.0511,75.29,90,100,16.82,overcast clouds
230,Katobu,ID,2022-11-30 21:27:18,-4.9408,122.5276,75.0,93,100,2.51,overcast clouds
231,Chake Chake,TZ,2022-11-30 21:27:19,-5.2459,39.7666,76.6,88,56,6.42,broken clouds
232,Baghdad,IQ,2022-11-30 21:23:15,33.3406,44.4009,58.91,94,0,2.3,clear sky
233,Balfour,ZA,2022-11-30 21:27:20,-26.6633,28.5902,58.41,56,1,5.99,clear sky
234,Chase,CA,2022-11-30 21:27:21,50.8165,-119.6857,29.28,92,100,1.74,light snow
235,Boyolangu,ID,2022-11-30 21:27:22,-8.1181,111.8935,75.13,86,98,5.73,overcast clouds
236,Torbay,CA,2022-11-30 21:27:23,47.6666,-52.7314,23.77,82,20,3.0,few clouds
237,Aksu,CN,2022-11-30 21:27:24,41.1231,80.2644,15.84,20,8,1.41,clear sky
238,Linxia,CN,2022-11-30 21:27:25,35.6003,103.2064,17.6,36,64,2.01,broken clouds
239,Rosita,NI,2022-11-30 21:27:25,13.9268,-84.4032,77.72,91,99,2.68,overcast clouds
240,Dikson,RU,2022-11-30 21:27:26,73.5069,80.5464,22.23,95,100,11.63,overcast clouds
241,Ust-Omchug,RU,2022-11-30 21:27:26,61.15,149.6333,-15.5,99,100,7.05,light snow
242,Saint-Georges,GD,2022-11-30 21:23:41,12.0564,-61.7485,82.08,74,20,11.5,few clouds
243,Marrakesh,MA,2022-11-30 21:24:27,31.6315,-8.0083,59.07,47,0,3.44,clear sky
244,Udachnyy,RU,2022-11-30 21:27:27,66.4167,112.4,-26.43,96,100,11.9,overcast clouds
245,Santo Domingo,DO,2022-11-30 21:23:06,18.5001,-69.9886,78.44,91,75,11.5,moderate rain
246,Poronaysk,RU,2022-11-30 21:27:28,49.2167,143.1167,7.0,72,79,15.68,broken clouds
247,Bodden Town,KY,2022-11-30 21:27:28,19.2833,-81.25,86.0,68,20,10.36,few clouds
248,Puebla,MX,2022-11-30 21:27:29,18.8333,-98.0,76.37,28,20,9.66,few clouds
249,Weyburn,CA,2022-11-30 21:27:29,49.6668,-103.8511,1.62,78,47,4.61,scattered clouds
250,Anadyr,RU,2022-11-30 21:27:30,64.75,177.4833,28.9,86,0,8.95,clear sky
251,Mandalgovi,MN,2022-11-30 21:27:30,45.7625,106.2708,-4.83,57,5,5.23,clear sky
252,Mahibadhoo,MV,2022-11-30 21:27:31,3.7833,72.9667,80.35,69,35,3.78,scattered clouds
253,Kaka,TM,2022-11-30 21:27:31,37.3482,59.6143,47.86,58,100,5.01,overcast clouds
254,Matay,EG,2022-11-30 21:27:32,28.419,30.7792,62.4,43,0,3.76,clear sky
255,Sucua,EC,2022-11-30 21:27:32,-2.4667,-78.1667,84.94,57,75,6.91,moderate rain
256,Kurduvadi,IN,2022-11-30 21:27:33,18.0833,75.4333,65.88,39,7,7.07,clear sky
